combination,method,n_models,score
SGD HINGE+PERCEPTRON,WRCDS,2,0.5596774193548387
SGD HINGE+NEAREST CENTROID,ARC,2,0.5567204301075269
SGD HINGE+PERCEPTRON,ARC,2,0.5564516129032258
SGD HINGE+NEAREST CENTROID,WRCP,2,0.5559139784946237
SGD HINGE+PERCEPTRON,WRCP,2,0.5553763440860215
SGD HINGE+PASSIVE AGGRESSIVE,ARC,2,0.5551075268817204
MLP CLASSIFIER+SGD HINGE,WRCDS,2,0.5548387096774193
SGD HINGE+DECISION TREE,WRCP,2,0.5543010752688172
SGD HINGE+DUMMY MOSTFREQ,WRCP,2,0.553763440860215
SGD HINGE+DUMMY MOSTFREQ,ARC,2,0.553763440860215
SGD HINGE+DUMMY MOSTFREQ,WRCDS,2,0.553763440860215
SGD HINGE+DECISION TREE,WRCDS,2,0.5532258064516129
SGD HINGE+PASSIVE AGGRESSIVE,WRCP,2,0.5532258064516129
SGD HINGE+PASSIVE AGGRESSIVE,WRCDS,2,0.5532258064516129
SGD HINGE+GAUSSIAN NB,ARC,2,0.5526881720430108
SGD HINGE+GAUSSIAN NB 1e-7,ARC,2,0.5526881720430108
SGD HINGE+GAUSSIAN NB 1e-8,ARC,2,0.5526881720430108
SGD HINGE+DECISION TREE,ARC,2,0.5526881720430108
SGD HINGE+GAUSSIAN NB,WRCP,2,0.5521505376344086
SGD HINGE+GAUSSIAN NB 1e-7,WRCP,2,0.5521505376344086
SGD HINGE+GAUSSIAN NB 1e-8,WRCP,2,0.5521505376344086
SGD HINGE+SGD MODHUBER,WRCP,2,0.5505376344086022
SGD HINGE+GAUSSIAN NB 1e-7,WRCDS,2,0.5489247311827957
SGD HINGE+SGD MODHUBER,ARC,2,0.5489247311827957
SGD HINGE+GAUSSIAN NB,WRCDS,2,0.5489247311827957
SGD HINGE+GAUSSIAN NB 1e-8,WRCDS,2,0.5489247311827957
MLP CLASSIFIER+SGD HINGE,WRCP,2,0.5489247311827957
SGD HINGE+EXTRA TREES,WRCDS,2,0.5467741935483871
SGD LOG+SGD HINGE,WRCP,2,0.5467741935483871
SGD HINGE+ADABOOST,WRCDS,2,0.5467741935483871
SGD HINGE+ADABOOST,ARC,2,0.546236559139785
SGD HINGE+ADABOOST,WRCP,2,0.546236559139785
SGD HINGE+NEAREST CENTROID,WRCDS,2,0.5456989247311828
SGD HINGE+EXTRA TREES,ARC,2,0.5454301075268817
GRADIENT BOOST+SGD HINGE,WRCDS,2,0.5451612903225806
SGD HINGE+BAGGING DT2,WRCDS,2,0.5451612903225806
SGD HINGE+DUMMY STRATIFIED,WRCP,2,0.5451612903225806
SGD HINGE+BAGGING DT2,WRCP,2,0.5440860215053763
SGD HINGE+BAGGING DT2,ARC,2,0.5435483870967742
MLP CLASSIFIER+SGD HINGE,ARC,2,0.5432795698924732
SGD LOG+SGD HINGE,ARC,2,0.543010752688172
RANDOM FOREST+SGD HINGE,WRCDS,2,0.5424731182795699
SGD HINGE+HIST GBDT,WRCDS,2,0.5424731182795699
GRADIENT BOOST+SGD HINGE,ARC,2,0.5419354838709678
GRADIENT BOOST+SGD HINGE,WRCP,2,0.5419354838709678
SGD LOG+SGD MODHUBER,WSCP,2,0.5413978494623656
